[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'chatMapper' and 'com.fdzc.springboot01.mapper.ChatMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'chatMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'goodsMapper' and 'com.fdzc.springboot01.mapper.GoodsMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'goodsMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'groupMapper' and 'com.fdzc.springboot01.mapper.GroupMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'groupMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'shareMapper' and 'com.fdzc.springboot01.mapper.ShareMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'shareMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'taskMapper' and 'com.fdzc.springboot01.mapper.TaskMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'taskMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'travelMapper' and 'com.fdzc.springboot01.mapper.TravelMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'travelMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'userCarbonMapper' and 'com.fdzc.springboot01.mapper.UserCarbonMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'userCarbonMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'userGroupMapper' and 'com.fdzc.springboot01.mapper.UserGroupMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'userGroupMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'userMapper' and 'com.fdzc.springboot01.mapper.UserMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'userMapper'.
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Creating MapperFactoryBean with name 'userTaskMapper' and 'com.fdzc.springboot01.mapper.UserTaskMapper' mapperInterface
[DEBUG][06-05 16:20:29,941][org.mybatis.spring.mapper.ClassPathMapperScanner]Enabling autowire by type for MapperFactoryBean with name 'userTaskMapper'.
[DEBUG][06-05 16:20:30,676][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.mybatis.spring.mapper.MapperScannerConfigurer'
[DEBUG][06-05 16:20:30,785][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\AdminMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\BuyMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\ChatMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\GoodsMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\GroupMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\ShareMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\TaskMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\TravelMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\UserCarbonMapper.class]
